TIME,behaviour
00:00:00,
00:00:15,
00:00:30,
00:00:45,
00:01:00,
00:01:15,
00:01:30,
00:01:45,
00:02:00,
00:02:15,
00:02:30,
00:02:45,
00:03:00,
00:03:15,
00:03:30,
00:03:45,
00:04:00,
00:04:15,
00:04:30,
00:04:45,
00:05:00,
00:05:15,
00:05:30,
00:05:45,
00:06:00,
00:06:15,
00:06:30,
00:06:45,
00:07:00,
00:07:15,
00:07:30,
00:07:45,
00:08:00,
00:08:15,
00:08:30,
00:08:45,
00:09:00,ROLL
00:09:15,ROLL
00:09:30,ROLL
00:09:45,LF
00:10:00,LF
00:10:15,LF
00:10:30,LF
00:10:45,LF
00:11:00,
00:11:15,
00:11:30,
00:11:45,NIP_CORE
00:12:00,NIP_CORE
00:12:15,NIP_CORE
00:12:30,NIP_CORE
00:12:45,NIP_CORE
00:13:00,NIP_CORE
00:13:15,NIP_CORE
00:13:30,NIP_CORE
00:13:45,
00:14:00,
00:14:15,
00:14:30,
00:14:45,
00:15:00,
00:15:15,
00:15:30,
00:15:45,
00:16:00,
00:16:15,
00:16:30,
00:16:45,
00:17:00,
00:17:15,
00:17:30,
00:17:45,
00:18:00,
00:18:15,
00:18:30,
00:18:45,
00:19:00,LF
00:19:15,LF
00:19:30,LF
00:19:45,LF
00:20:00,LF
00:20:15,LF
00:20:30,LF
00:20:45,LF
00:21:00,
00:21:15,
00:21:30,
00:21:45,
00:22:00,
00:22:15,
00:22:30,ROLL
00:22:45,ROLL
00:23:00,BEND
00:23:15,BEND
00:23:30,BEND
00:23:45,BEND
00:24:00,BEND
00:24:15,
00:24:30,
00:24:45,
00:25:00,
00:25:15,LF
00:25:30,LF
00:25:45,LF
00:26:00,LF
00:26:15,LF
00:26:30,LF
00:26:45,BEND
00:27:00,BEND
00:27:15,BEND
00:27:30,BEND
00:27:45,BEND
00:28:00,BEND
00:28:15,BEND
00:28:30,BEND
00:28:45,DAN_CIRC
00:29:00,DAN_CIRC
00:29:15,DAN_CIRC
00:29:30,DAN_CIRC
00:29:45,DAN_CIRC
00:30:00,BEND
00:30:15,BEND
00:30:30,BEND
00:30:45,BEND
00:31:00,BEND
00:31:15,BEND
00:31:30,BEND
00:31:45,BEND
00:32:00,
00:32:15,
00:32:30,
00:32:45,
00:33:00,
00:33:15,
00:33:30,LF
00:33:45,LF
00:34:00,LF
00:34:15,LF
00:34:30,LF
00:34:45,LF
00:35:00,LF
00:35:15,LF
00:35:30,LF
00:35:45,
00:36:00,
00:36:15,
00:36:30,
00:36:45,
00:37:00,
00:37:15,
00:37:30,
00:37:45,
00:38:00,
00:38:15,
00:38:30,
00:38:45,
00:39:00,
00:39:15,
00:39:30,H_DOWN
00:39:45,H_DOWN
00:40:00,H_DOWN
00:40:15,H_DOWN
00:40:30,H_DOWN
00:40:45,H_DOWN
00:41:00,H_DOWN
00:41:15,H_DOWN
00:41:30,H_DOWN
00:41:45,H_DOWN
00:42:00,INSF
00:42:15,INSF
00:42:30,INSF
00:42:45,INSF
00:43:00,INSF
00:43:15,INSF
00:43:30,INSF
00:43:45,INSF
00:44:00,INSF
00:44:15,
00:44:30,
00:44:45,
00:45:00,NIP_CORE
00:45:15,NIP_CORE
00:45:30,NIP_CORE
00:45:45,NIP_CORE
00:46:00,NIP_CORE
00:46:15,
00:46:30,
00:46:45,
00:47:00,ROLL
00:47:15,ROLL
00:47:30,ROLL
00:47:45,ROLL
00:48:00,ROLL
00:48:15,ROLL
00:48:30,ROLL
00:48:45,ROLL
00:49:00,ROLL
00:49:15,ROLL
00:49:30,ROLL
