epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2844,1.62459,2.82591,1.58474,0.39501,0.41107,0.29798,0.17561,1.44229,1.57511,1.56405,8.92308e-05,8.92308e-05,8.92308e-05
2,221.848,1.44929,1.61423,1.45954,0.49959,0.4871,0.42769,0.26471,1.37592,1.40727,1.54183,0.000175682,0.000175682,0.000175682
3,251.624,1.40062,1.40657,1.41705,0.53972,0.51333,0.48416,0.28708,1.42265,1.27013,1.58386,0.000258569,0.000258569,0.000258569
4,281.136,1.39511,1.30164,1.41897,0.53521,0.55331,0.5316,0.32374,1.33261,1.15821,1.50458,0.000253962,0.000253962,0.000253962
5,310.743,1.35569,1.20151,1.38216,0.56451,0.56288,0.55031,0.33319,1.31379,1.14772,1.47654,0.000248616,0.000248616,0.000248616
6,339.977,1.32158,1.12446,1.37746,0.6064,0.57475,0.59482,0.37536,1.31474,1.01364,1.47549,0.00024327,0.00024327,0.00024327
7,369.341,1.31841,1.06855,1.36593,0.54116,0.64873,0.62075,0.39171,1.30513,0.99791,1.46056,0.000237924,0.000237924,0.000237924
8,398.873,1.28685,1.02454,1.34504,0.65942,0.62345,0.66045,0.42023,1.27936,0.95687,1.44162,0.000232578,0.000232578,0.000232578
9,428.292,1.25739,0.95839,1.32972,0.57874,0.69078,0.66316,0.41639,1.29906,0.9474,1.46112,0.000227232,0.000227232,0.000227232
10,457.432,1.25242,0.95319,1.3359,0.6381,0.68529,0.70749,0.4539,1.26716,0.88641,1.42856,0.000221886,0.000221886,0.000221886
11,486.853,1.23512,0.91399,1.30887,0.68572,0.66414,0.73716,0.4713,1.26589,0.8751,1.4358,0.00021654,0.00021654,0.00021654
12,515.902,1.22451,0.90377,1.31146,0.6658,0.69522,0.72093,0.4535,1.30081,0.86625,1.45404,0.000211194,0.000211194,0.000211194
