epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0147,1.57444,2.69703,1.54232,0.52484,0.38493,0.35136,0.2059,1.41662,1.56871,1.50331,8.94375e-05,8.94375e-05,8.94375e-05
2,78.8366,1.36825,1.48513,1.39556,0.53803,0.45306,0.45288,0.27471,1.36264,1.47355,1.51655,0.000175885,0.000175885,0.000175885
3,117.314,1.34794,1.28077,1.37773,0.48863,0.51299,0.47084,0.28007,1.36068,1.3068,1.49259,0.000258768,0.000258768,0.000258768
4,156.457,1.31474,1.19806,1.35264,0.60982,0.49285,0.5515,0.3463,1.3083,1.14984,1.45378,0.000253962,0.000253962,0.000253962
5,195.105,1.27062,1.08765,1.32789,0.5851,0.56787,0.54952,0.34092,1.30434,1.1226,1.44739,0.000248616,0.000248616,0.000248616
6,233.615,1.26071,1.03814,1.32109,0.6988,0.55857,0.63368,0.41014,1.27257,0.97136,1.41516,0.00024327,0.00024327,0.00024327
7,272.183,1.22558,0.9675,1.30245,0.61355,0.62706,0.62891,0.40677,1.24312,0.97507,1.40241,0.000237924,0.000237924,0.000237924
8,310.141,1.21225,0.9432,1.29187,0.69441,0.6323,0.6874,0.4505,1.23901,0.89075,1.39669,0.000232578,0.000232578,0.000232578
9,348.396,1.18637,0.89231,1.28003,0.69134,0.65829,0.72062,0.46967,1.22586,0.87674,1.38421,0.000227232,0.000227232,0.000227232
10,386.099,1.16784,0.86014,1.27126,0.68113,0.68088,0.71815,0.471,1.21221,0.85514,1.3711,0.000221886,0.000221886,0.000221886
11,424.738,1.15635,0.83462,1.25124,0.74145,0.63571,0.73612,0.48602,1.20375,0.85115,1.36423,0.00021654,0.00021654,0.00021654
12,462.749,1.13899,0.80959,1.24722,0.73571,0.66272,0.75208,0.50123,1.20929,0.80705,1.37805,0.000211194,0.000211194,0.000211194
13,501.276,1.1353,0.78697,1.24658,0.7345,0.68905,0.76685,0.51317,1.19013,0.79085,1.36605,0.000205848,0.000205848,0.000205848
14,539.355,1.12861,0.77268,1.23894,0.65769,0.77754,0.78913,0.53717,1.17364,0.74936,1.34562,0.000200502,0.000200502,0.000200502
15,577.218,1.1088,0.75476,1.2281,0.70536,0.75199,0.7925,0.53713,1.16881,0.7505,1.34059,0.000195156,0.000195156,0.000195156
16,616.306,1.10172,0.7349,1.23146,0.73698,0.75215,0.79857,0.54477,1.17459,0.72958,1.35051,0.00018981,0.00018981,0.00018981
17,653.367,1.0815,0.7131,1.21116,0.70548,0.80712,0.81052,0.54912,1.15873,0.71586,1.33803,0.000184464,0.000184464,0.000184464
18,691.354,1.07875,0.70678,1.20947,0.77094,0.73493,0.80579,0.5508,1.16408,0.72315,1.34483,0.000179118,0.000179118,0.000179118
19,730.799,1.06455,0.68366,1.20394,0.76182,0.75046,0.80789,0.55557,1.13871,0.7148,1.33242,0.000173772,0.000173772,0.000173772
20,770.155,1.05276,0.68899,1.20379,0.78114,0.75689,0.81659,0.55823,1.15062,0.71081,1.33404,0.000168426,0.000168426,0.000168426
21,808.877,1.04404,0.66184,1.18812,0.73892,0.78007,0.82379,0.56535,1.15714,0.70516,1.3304,0.00016308,0.00016308,0.00016308
22,847.022,1.02669,0.65679,1.17788,0.78866,0.79338,0.84714,0.58459,1.1365,0.67684,1.31617,0.000157734,0.000157734,0.000157734
