epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5526,1.54726,2.55925,1.55305,0.53627,0.33164,0.30918,0.17338,1.41481,1.60061,1.55663,0.000109694,0.000109694,0.000109694
2,44.4258,1.41025,1.48022,1.42741,0.36099,0.53795,0.40373,0.24192,1.41282,1.75295,1.57861,0.000216324,0.000216324,0.000216324
3,66.1281,1.42372,1.36704,1.43621,0.54088,0.48987,0.4564,0.27807,1.45172,1.46043,1.64662,0.000318559,0.000318559,0.000318559
4,87.4713,1.40033,1.24074,1.41172,0.48357,0.56554,0.51214,0.29629,1.4095,1.28574,1.59825,0.00031322,0.00031322,0.00031322
5,108.267,1.37214,1.13198,1.38317,0.54967,0.55375,0.54378,0.32284,1.42302,1.18013,1.57728,0.000306626,0.000306626,0.000306626
6,129.457,1.30773,1.04969,1.34798,0.57991,0.64628,0.58924,0.35806,1.3781,1.0718,1.52091,0.000300033,0.000300033,0.000300033
7,150.871,1.34126,1.05195,1.3735,0.67082,0.61598,0.63271,0.37103,1.38981,1.04204,1.52762,0.00029344,0.00029344,0.00029344
8,172.28,1.31205,0.9929,1.35155,0.64157,0.59938,0.63115,0.38394,1.33915,1.01543,1.48771,0.000286846,0.000286846,0.000286846
9,193.581,1.28718,0.97732,1.33766,0.65423,0.72861,0.69015,0.42899,1.34102,0.93482,1.49829,0.000280253,0.000280253,0.000280253
10,214.968,1.26385,0.92984,1.32729,0.67465,0.67979,0.71059,0.44193,1.35018,0.93145,1.49444,0.000273659,0.000273659,0.000273659
11,236.559,1.25029,0.89195,1.32541,0.6689,0.6959,0.7378,0.46733,1.31808,0.92914,1.48083,0.000267066,0.000267066,0.000267066
12,257.913,1.23808,0.88081,1.30802,0.58242,0.70115,0.7267,0.46596,1.29805,0.88645,1.45707,0.000260473,0.000260473,0.000260473
13,279.141,1.22641,0.86893,1.30496,0.71734,0.65239,0.70351,0.44742,1.29414,0.87415,1.46091,0.000253879,0.000253879,0.000253879
14,300.256,1.20029,0.8233,1.29201,0.73111,0.73347,0.75856,0.48011,1.2929,0.84895,1.4611,0.000247286,0.000247286,0.000247286
15,321.64,1.19666,0.8288,1.28775,0.78741,0.72277,0.74731,0.47877,1.25532,0.82513,1.41418,0.000240692,0.000240692,0.000240692
16,342.749,1.16859,0.80221,1.27446,0.75682,0.66488,0.79128,0.50734,1.27385,0.80717,1.43928,0.000234099,0.000234099,0.000234099
17,364.286,1.18608,0.78638,1.28763,0.80591,0.70643,0.75048,0.48024,1.26319,0.82591,1.43263,0.000227506,0.000227506,0.000227506
18,385.338,1.15039,0.77117,1.27287,0.76392,0.67692,0.75139,0.48597,1.23492,0.79888,1.41293,0.000220912,0.000220912,0.000220912
19,406.679,1.13568,0.74771,1.25264,0.72299,0.70577,0.75257,0.50166,1.25046,0.77951,1.43475,0.000214319,0.000214319,0.000214319
20,427.791,1.11963,0.73159,1.24186,0.8238,0.71255,0.82165,0.5483,1.2279,0.75989,1.41259,0.000207725,0.000207725,0.000207725
21,449.258,1.12385,0.73098,1.25177,0.62257,0.80386,0.76801,0.51575,1.23289,0.78262,1.39842,0.000201132,0.000201132,0.000201132
22,470.523,1.11235,0.71834,1.24508,0.87142,0.64186,0.7998,0.53106,1.23963,0.75857,1.40916,0.000194539,0.000194539,0.000194539
23,491.662,1.10896,0.70977,1.22598,0.64726,0.8094,0.78766,0.51753,1.20481,0.74816,1.39977,0.000187945,0.000187945,0.000187945
24,512.739,1.06026,0.6591,1.20667,0.7599,0.74394,0.81513,0.52828,1.23489,0.73099,1.41288,0.000181352,0.000181352,0.000181352
25,533.81,1.06553,0.67963,1.21539,0.77128,0.7775,0.82376,0.55671,1.20807,0.72472,1.3889,0.000174758,0.000174758,0.000174758
26,555.284,1.07202,0.67832,1.20559,0.81567,0.77731,0.82318,0.54928,1.21381,0.71145,1.40098,0.000168165,0.000168165,0.000168165
27,576.465,1.0423,0.65199,1.20169,0.80841,0.76036,0.82626,0.54275,1.21258,0.7336,1.38879,0.000161572,0.000161572,0.000161572
