epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.18635,2.42521,4.71565,2.13757,0.42358,0.07531,0.06146,0.02507,1.83402,3.02635,1.77849,4.095e-05,4.095e-05,4.095e-05
2,167.771,1.90119,2.736,1.69466,0.40793,0.10759,0.08487,0.03912,1.66113,12.6984,1.59043,8.47383e-05,8.47383e-05,8.47383e-05
3,172.011,1.65162,2.09679,1.50024,0.71986,0.1737,0.22376,0.15008,1.67571,4.06115,1.60284,0.000126725,0.000126725,0.000126725
4,176.305,1.61149,1.73686,1.47831,0.70464,0.38937,0.37722,0.24955,1.50677,1.79738,1.49662,0.000166909,0.000166909,0.000166909
5,180.888,1.53722,1.64433,1.42947,0.45062,0.58505,0.51019,0.31858,1.55622,2.00277,1.51368,0.000205292,0.000205292,0.000205292
6,185.167,1.49264,1.51856,1.40328,0.38689,0.73893,0.53743,0.36366,1.53551,1.73667,1.52939,0.000241873,0.000241873,0.000241873
7,189.347,1.45662,1.44679,1.34315,0.50626,0.66141,0.56704,0.3721,1.51161,1.59202,1.49955,0.000276653,0.000276653,0.000276653
8,193.556,1.45841,1.31516,1.38144,0.75415,0.37246,0.60898,0.42169,1.47903,1.52805,1.50472,0.00030963,0.00030963,0.00030963
9,197.75,1.40186,1.25853,1.33412,0.60069,0.52757,0.52817,0.36864,1.46067,1.51013,1.47998,0.000340806,0.000340806,0.000340806
10,201.637,1.38408,1.21181,1.28775,0.72044,0.49373,0.5705,0.37912,1.49852,1.53644,1.53543,0.00037018,0.00037018,0.00037018
11,205.547,1.40168,1.18977,1.31324,0.54027,0.59586,0.62155,0.42687,1.51336,1.83039,1.51978,0.00036491,0.00036491,0.00036491
12,209.602,1.37356,1.15438,1.31329,0.64647,0.63826,0.64382,0.4113,1.49351,1.58993,1.52851,0.000355901,0.000355901,0.000355901
13,213.47,1.34164,1.13859,1.29455,0.64051,0.54826,0.66143,0.43995,1.47357,1.42425,1.48893,0.000346892,0.000346892,0.000346892
14,217.56,1.32809,1.04683,1.26089,0.59119,0.6749,0.69054,0.46024,1.44074,1.31275,1.47165,0.000337883,0.000337883,0.000337883
15,221.613,1.33119,0.98405,1.30053,0.65564,0.67396,0.71687,0.48598,1.3474,1.1728,1.41401,0.000328874,0.000328874,0.000328874
16,225.779,1.31365,0.98082,1.2958,0.60159,0.66758,0.70031,0.46471,1.40349,1.12434,1.45387,0.000319865,0.000319865,0.000319865
17,229.579,1.30574,0.95845,1.26945,0.53148,0.69301,0.65309,0.44142,1.41268,1.10478,1.45687,0.000310856,0.000310856,0.000310856
18,233.408,1.28298,0.99599,1.27737,0.60055,0.6203,0.64827,0.43795,1.37034,1.17383,1.42294,0.000301847,0.000301847,0.000301847
19,237.248,1.24293,0.93011,1.22581,0.51286,0.72925,0.70778,0.47705,1.36986,1.13537,1.42299,0.000292838,0.000292838,0.000292838
20,241.095,1.23541,0.90687,1.24815,0.55313,0.76737,0.76545,0.5054,1.4202,1.0803,1.45491,0.000283829,0.000283829,0.000283829
21,245.113,1.22017,0.87677,1.23159,0.5885,0.74233,0.76269,0.48995,1.4088,1.05602,1.44081,0.00027482,0.00027482,0.00027482
22,248.937,1.1665,0.83747,1.2166,0.77064,0.61425,0.7371,0.50789,1.34969,0.94492,1.43502,0.000265811,0.000265811,0.000265811
23,252.725,1.1736,0.84454,1.19574,0.5291,0.7439,0.71815,0.46732,1.37944,0.97743,1.44677,0.000256802,0.000256802,0.000256802
24,256.496,1.14537,0.78402,1.20657,0.62604,0.66443,0.74062,0.49991,1.34595,0.98111,1.43273,0.000247793,0.000247793,0.000247793
25,260.299,1.18443,0.80334,1.16919,0.6353,0.69509,0.72509,0.49289,1.33812,0.99512,1.41059,0.000238784,0.000238784,0.000238784
26,264.23,1.13336,0.74691,1.16968,0.67059,0.66894,0.74385,0.50233,1.33002,0.99206,1.41098,0.000229775,0.000229775,0.000229775
27,268.02,1.08753,0.73757,1.1332,0.71552,0.67795,0.74879,0.51425,1.33785,1.03404,1.42595,0.000220766,0.000220766,0.000220766
28,272.058,1.10487,0.72945,1.15236,0.63529,0.69791,0.73708,0.51614,1.39256,0.94249,1.4567,0.000211757,0.000211757,0.000211757
29,276.141,1.10322,0.71264,1.15122,0.64582,0.66231,0.72549,0.51354,1.3779,1.0376,1.43863,0.000202748,0.000202748,0.000202748
30,280.001,1.04649,0.71166,1.11956,0.60871,0.79458,0.74875,0.52582,1.33272,0.92277,1.41472,0.000193739,0.000193739,0.000193739
31,284.122,1.04127,0.69888,1.09074,0.66257,0.68774,0.76058,0.52907,1.33756,0.91408,1.42996,0.00018473,0.00018473,0.00018473
32,288.204,1.03443,0.67,1.11852,0.69859,0.69711,0.78139,0.55975,1.36164,0.90044,1.43024,0.000175721,0.000175721,0.000175721
33,292.195,1.04353,0.6964,1.1214,0.73875,0.69923,0.79744,0.55944,1.37324,0.86736,1.42658,0.000166712,0.000166712,0.000166712
34,296.43,1.0148,0.65532,1.12525,0.70549,0.67967,0.77864,0.5493,1.35666,0.89363,1.40279,0.000157703,0.000157703,0.000157703
35,300.334,0.99213,0.66261,1.11715,0.76885,0.64282,0.76739,0.54303,1.32887,0.9341,1.37873,0.000148694,0.000148694,0.000148694
36,304.214,0.9853,0.64022,1.10679,0.63937,0.77125,0.7872,0.52986,1.31237,0.84999,1.39168,0.000139685,0.000139685,0.000139685
37,307.988,1.00637,0.65859,1.10942,0.71997,0.74905,0.80183,0.54793,1.30343,0.85223,1.39268,0.000130676,0.000130676,0.000130676
38,311.989,0.96819,0.64011,1.08135,0.70043,0.75294,0.80598,0.5502,1.32097,0.8344,1.41739,0.000121667,0.000121667,0.000121667
39,315.854,0.94933,0.59885,1.07382,0.74516,0.67689,0.78409,0.52844,1.33906,0.84455,1.42665,0.000112658,0.000112658,0.000112658
40,319.761,0.93489,0.60879,1.05682,0.72844,0.70086,0.8057,0.54933,1.33782,0.85648,1.43105,0.000103649,0.000103649,0.000103649
41,324.69,0.94741,0.54241,1.12934,0.74217,0.73411,0.80729,0.5457,1.31347,0.85385,1.42812,9.464e-05,9.464e-05,9.464e-05
42,328.84,0.92287,0.51513,1.09459,0.7153,0.72307,0.80929,0.53728,1.30204,0.82641,1.43005,8.5631e-05,8.5631e-05,8.5631e-05
43,332.619,0.88943,0.50204,1.08604,0.73312,0.71853,0.80363,0.53497,1.30703,0.81189,1.4336,7.6622e-05,7.6622e-05,7.6622e-05
44,336.568,0.87911,0.4989,1.07512,0.70646,0.74375,0.81865,0.55234,1.31339,0.7971,1.4239,6.7613e-05,6.7613e-05,6.7613e-05
45,340.472,0.8453,0.46416,1.05349,0.72302,0.74447,0.83242,0.56801,1.29957,0.77119,1.39977,5.8604e-05,5.8604e-05,5.8604e-05
46,344.614,0.85316,0.46857,1.05387,0.74975,0.74588,0.82171,0.56719,1.28871,0.77143,1.38741,4.9595e-05,4.9595e-05,4.9595e-05
47,348.446,0.81003,0.45577,1.03079,0.73531,0.73403,0.8148,0.56382,1.2889,0.77627,1.38647,4.0586e-05,4.0586e-05,4.0586e-05
48,352.281,0.80047,0.44682,1.03521,0.7455,0.7271,0.81792,0.57624,1.28469,0.787,1.38506,3.1577e-05,3.1577e-05,3.1577e-05
49,356.337,0.80114,0.45034,1.02895,0.73385,0.72594,0.81146,0.57844,1.28187,0.78466,1.38218,2.2568e-05,2.2568e-05,2.2568e-05
50,360.33,0.7955,0.43923,1.02494,0.7457,0.73116,0.8197,0.58164,1.28027,0.78346,1.38132,1.3559e-05,1.3559e-05,1.3559e-05
